Op[4]	A[32]	B[32]	Sa[5]	C[32]	V
15	534172575	0	0	1	0
3	-13537272	-1183312125	0	-1196849397	0
6	-685295594	-1879129002	0	1193833408	0
4	2069337830	-398034678	0	1749422082	0
5	-812958011	199130204	0	-807436579	0
8	-629125683	-533036501	0	1	0
9	-1183784897	-826713262	0	0	0
10	869236122	-380989275	0	-628757185	0
11	1575950518	-335885213	0	8968	0
1	0	596967532	15	-2143944704	0
12	0	-1343390501	25	87	0
13	0	1008836533	26	15	0
14	-1766104957	0	0	1	0
15	-2130694527	0	0	0	0
2	-1709989257	888872844	0	-821116413	0
7	1025922250	1560938649	0	-535016399	0
4	1429909223	2058127607	0	1344833767	0
5	-1452505708	213335638	0	-1375748138	0
8	1647380087	-664511285	0	1	0
9	1976474547	2028262628	0	0	0
10	1051400965	767321324	0	320307177	0
11	41920044	-1330087067	0	1291845778	0
0	0	-1094517810	3	-166207888	0
12	0	-446913631	11	1878932	0
13	0	962499179	6	15039049	0
14	1009479290	0	0	0	0
15	40573457	0	0	1	0
2	-1941048275	1127939898	0	-813108377	0
6	-688689708	-375664473	0	-313025235	0
4	2135827471	-1633991973	0	503971851	0
5	1637219407	488315861	0	2107637727	0
8	184258747	1641261414	0	1	0
9	-1960893996	1186113775	0	0	0
10	651023539	-2022396444	0	-1581680297	0
11	-783126338	1036815894	0	35717441	0
1	0	-821725270	27	1342177280	0
12	0	-1349068716	3	368237322	0
13	0	-1623293372	20	-1549	0
14	-711228392	0	0	1	0
15	-596852646	0	0	0	0
3	-61713716	-1059776454	0	-1121490170	0
7	-502473698	-1994420139	0	1491946441	0
4	-266153362	-1614011272	0	-1879048088	0
5	-749133880	-19615162	0	-2244658	0
8	1398384945	-722137567	0	1	0
9	1137510584	1408464748	0	0	0
10	-93821256	887111909	0	-829938083	0
11	614410456	-111156023	0	35656486	0
1	0	-641749184	4	-1678052352	0
12	0	826586153	30	0	0
13	0	154143399	1	77071699	0
14	-1430988887	0	0	1	0
15	-856071432	0	0	0	0
3	-1307394375	1179739352	0	-127655023	0
6	-714727722	-1128160435	0	413432713	0
4	676527153	839812703	0	537035793	0
5	1784673274	634901804	0	1876948990	0
8	-1284011874	2116500450	0	1	0
9	-167924048	400211870	0	0	0
10	-369628909	1196522032	0	-1364815069	0
11	-1560151755	-292209789	0	275383368	0
0	0	-623023293	7	1857397120	0
12	0	-2099309746	28	8	0
13	0	946441992	23	112	0
14	232870241	0	0	0	0
15	-1019214729	0	0	0	0
3	290385079	-206573066	0	83812013	0
6	-660651524	133337818	0	-793989342	0
4	2069519514	-954660814	0	1125648402	0
5	-829736827	-513230554	0	-269764185	0
8	427046707	1647823143	0	1	0
9	-1338489725	-1447175206	0	0	0
10	1329028218	-784931036	0	-1644053666	0
11	-1498729262	-1714747353	0	1075102472	0
1	0	1197598736	5	-331546112	0
12	0	-612312447	9	7192685	0
13	0	-926504528	3	-115813066	0
14	-153237254	0	0	1	0
15	-746763276	0	0	0	0
3	1153328631	-1851053691	0	-697725060	0
7	-837609474	1058350098	0	-1895959572	0
4	-807624844	-2076152564	0	-2076177148	0
5	-132995938	-1241207957	0	-32067585	0
8	-328579441	-708693011	0	1	0
9	132272536	2111523792	0	0	0
10	906560571	-1613774138	0	-1446590723	0
11	1650666768	-1835299704	0	218387047	0
1	0	-675503341	13	-1805492224	0
12	0	135177785	12	33002	0
13	0	-2115020289	12	-516363	0
14	-883824439	0	0	1	0
15	2111021094	0	0	1	0
3	-857843618	-1375540167	0	2061583511	1
7	-1688739150	1753446650	0	852781496	1
4	602237636	394904467	0	58802816	0
5	2031277086	584850269	0	2078203743	0
8	867982259	-1903289889	0	1	0
9	1491141096	1979023416	0	0	0
10	-2047188585	-2037966987	0	58554082	0
11	1453790025	-2075828747	0	689479682	0
1	0	179216150	22	-981467136	0
12	0	1090343748	5	34073242	0
13	0	-1968947477	7	-15382403	0
14	1906755145	0	0	0	0
15	1071935380	0	0	1	0
2	231617917	-1016357184	0	-784739267	0
7	-317242458	-1733594376	0	1416351918	0
4	1895014149	-1319668784	0	810750720	0
5	-688182851	1354247758	0	-688181249	0
8	1862105317	676164339	0	1	0
9	1923485131	349048703	0	0	0
10	-577512954	907061364	0	-343707022	0
11	778084915	1601071865	0	-2137975548	0
0	0	318940672	21	-1073741824	0
12	0	-1424524474	4	179402676	0
13	0	-297113640	14	-18135	0
14	-669690295	0	0	1	0
15	1746575955	0	0	1	0
2	16655900	1808242103	0	1824898003	0
6	404772828	-783791960	0	1188564788	0
4	1723559638	-24509004	0	1720321172	0
5	1230985658	744457653	0	1834999231	0
8	523943022	-1098193648	0	1	0
9	-1651756689	1138635747	0	0	0
10	-1356240803	-1534454062	0	195264143	0
11	-865214256	-2067318903	0	856688678	0
1	0	455673046	29	-1073741824	0
12	0	1516532380	18	5785	0
13	0	-1651313433	5	-51603545	0
14	-1256563809	0	0	1	0
15	1625996078	0	0	1	0
2	-270871277	867591161	0	596719884	0
6	605911736	-477251790	0	1083163526	0
4	376611537	-1979907445	0	7340673	0
5	-1008989399	-752864302	0	-738444293	0
8	-897121324	501406973	0	1	0
9	-2098197520	-944942968	0	0	0
10	397057352	259299502	0	417203686	0
11	1122070537	2082423224	0	-2130670010	0
1	0	17074799	18	700186624	0
12	0	-999037390	16	50291	0
13	0	709054369	17	5409	0
14	-164901346	0	0	1	0
15	354805494	0	0	1	0
3	-966861291	-1228009676	0	2100096329	1
6	-370265997	-96273011	0	-273992986	0
4	1253385744	1626772309	0	1085538832	0
5	125159760	986993477	0	1073077077	0
8	1689868617	-544039751	0	1	0
9	-1349918725	49702275	0	0	0
10	407668725	-542435997	0	-941124970	0
11	1870130528	-1933504291	0	268960258	0
1	0	1590927270	3	-157483728	0
12	0	-1440078009	21	1361	0
13	0	291875265	25	8	0
14	-1636822167	0	0	1	0
15	-1647614504	0	0	0	0
3	-241041042	1003892198	0	762851156	0
6	1406844362	117498387	0	1289345975	0
4	-340657094	2141672080	0	1805733904	0
5	2111935827	695732420	0	2113510871	0
8	1761670943	1407581876	0	1	0
9	58225033	-1480614083	0	0	0
10	-1608359144	468704940	0	-1144144460	0
11	1059147525	-1531310323	0	1078243570	0
0	0	-198520205	31	-2147483648	0
12	0	1596924178	12	389874	0
13	0	-627043498	23	-75	0
14	1879046363	0	0	0	0
15	-1786237441	0	0	0	0
2	787540356	-589906880	0	197633476	0
7	1038412211	64912072	0	973500139	0
4	299483647	859334387	0	286802163	0
5	926691388	-2102351515	0	-1212368515	0
8	-728498518	238119793	0	1	0
9	-1058949098	-1780879394	0	0	0
10	-1166816046	-1688192147	0	554956735	0
11	-1470603339	1918154421	0	94568522	0
1	0	-2110656201	28	1879048192	0
12	0	2132802945	8	8331261	0
13	0	1453584962	26	21	0
14	-1208606058	0	0	1	0
15	-1451971381	0	0	0	0
2	-1505152827	-837724401	0	1952090068	1
7	-352920045	397932483	0	-750852528	0
4	-842591955	-1554803332	0	-2126311124	0
5	789102694	647404160	0	798939878	0
8	-970066154	1350992921	0	1	0
9	459131552	-21237958	0	0	0
10	-1248790286	-1377992336	0	407730562	0
11	685235819	-2013556136	0	1342185860	0
1	0	-955848678	13	-586989568	0
12	0	2143230962	0	2143230962	0
13	0	-1898717579	24	-114	0
14	-1588895680	0	0	1	0
15	1600280088	0	0	1	0
3	-1233518708	1625065172	0	391546464	0
6	-2068497055	-1293801304	0	-774695751	0
4	-1734555326	714471609	0	143968256	0
5	-1900182477	374113434	0	-1627552581	0
8	145456889	-283350463	0	1	0
9	1011230607	-1091721598	0	0	0
10	1659668693	672540119	0	1257942274	0
11	1895373909	-1124479488	0	50733482	0
0	0	1371718783	0	1371718783	0
12	0	-366897398	0	-366897398	0
13	0	-1422896871	14	-86847	0
14	-1913348925	0	0	1	0
15	-915527379	0	0	0	0
2	-876863316	1780281463	0	903418147	0
6	803950209	-1570646253	0	-1920370834	1
4	-1316878695	-1007354009	0	-2122316287	0
5	1846444461	-1810561975	0	-31488531	0
8	1004444076	-1905099218	0	1	0
9	-839065523	-1831350206	0	0	0
10	-1801418261	-2035214185	0	303141244	0
11	-810186092	1443175150	0	541746433	0
0	0	-1416267483	13	-1356554240	0
12	0	1759671227	10	1718428	0
13	0	-1594615997	25	-48	0
14	-1293144837	0	0	1	0
15	-633957335	0	0	0	0
3	212064444	-2124704849	0	-1912640405	0
7	-482586162	-484103489	0	1517327	0
4	1125618335	-2122999802	0	18190342	0
5	-1071541023	1287671702	0	-857612297	0
8	267967947	1642086981	0	1	0
9	1778550933	-1103005845	0	0	0
10	767878189	1835936669	0	1084936112	0
11	-873162989	-1364744456	0	268978180	0
0	0	2006560592	30	0	0
12	0	-1560367596	27	20	0
13	0	987966132	6	15436970	0
14	1658810365	0	0	0	0
15	1972332893	0	0	1	0
3	1383036210	-1507088270	0	-124052060	0
6	119445503	-1392929228	0	1512374731	0
4	490615529	-428949798	0	70136520	0
5	503067600	-358395230	0	-35854	0
8	1413996731	637102797	0	1	0
9	675097888	-2110057772	0	0	0
10	-28866211	909610977	0	-932182340	0
11	-447133928	-1338923675	0	176560258	0
1	0	458150283	0	458150283	0
12	0	-426309896	7	30223885	0
13	0	-2134316265	22	-509	0
14	1549219042	0	0	0	0
15	-88715141	0	0	0	0
2	-1513389215	1803604991	0	290215776	0
6	-1154056437	1074346297	0	2066564562	1
4	505000868	1706964721	0	68694688	0
5	553229683	-853236320	0	-302137869	0
8	1352317058	-1392942385	0	1	0
9	-1239156486	243182610	0	0	0
10	-1730583002	-18657666	0	1715087448	0
11	-1355075039	-2076899744	0	1354811806	0
0	0	1568927477	8	-2081491712	0
12	0	-445374698	0	-445374698	0
13	0	-105068339	31	-1	0
14	1081027493	0	0	0	0
15	1589375041	0	0	1	0
3	-767630533	1364702977	0	597072444	0
7	-1785240370	-771585358	0	-1013655012	0
4	2093096849	-1718982049	0	411175441	0
5	2067498149	-679533570	0	-8411137	0
8	-80258450	-1642385217	0	1	0
9	1596798994	239207490	0	0	0
10	310890056	475519698	0	248517786	0
11	-188959085	-336871263	0	2380	0
0	0	21859113	27	1207959552	0
12	0	-985383628	28	12	0
13	0	-1005018244	22	-240	0
14	-1978406119	0	0	1	0
15	1954648684	0	0	1	0
